Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_800447,155185,AMZ1
JCP2022_800448,51321,AMZ2
JCP2022_800449,51529,ANAPC11
JCP2022_800450,29882,ANAPC2
JCP2022_800451,29945,ANAPC4
JCP2022_800452,51433,ANAPC5
JCP2022_800453,283,ANG
JCP2022_800454,284,ANGPT1
JCP2022_800455,285,ANGPT2
JCP2022_800456,9068,ANGPTL1
JCP2022_800457,23452,ANGPTL2
JCP2022_800458,27329,ANGPTL3
JCP2022_800459,10218,ANGPTL7
JCP2022_800460,287,ANK2
JCP2022_800461,288,ANK3
JCP2022_800462,63926,ANKEF1
JCP2022_800463,56172,ANKH
JCP2022_800464,54467,ANKIB1
JCP2022_800465,255239,ANKK1
JCP2022_800466,57763,ANKRA2
JCP2022_800467,27063,ANKRD1
JCP2022_800468,55608,ANKRD10
JCP2022_800469,26287,ANKRD2
JCP2022_800470,118932,ANKRD22
JCP2022_800471,91074,ANKRD30A
JCP2022_800472,341405,ANKRD33
JCP2022_800473,338699,ANKRD42
JCP2022_800474,339416,ANKRD45
JCP2022_800475,54851,ANKRD49
JCP2022_800476,79998,ANKRD53
JCP2022_800477,129138,ANKRD54
JCP2022_800478,79722,ANKRD55
JCP2022_800479,22881,ANKRD6
JCP2022_800480,56311,ANKRD7
JCP2022_800481,124401,ANKS3
JCP2022_800482,55139,ANKZF1
JCP2022_800483,55107,ANO1
JCP2022_800484,55129,ANO10
JCP2022_800485,57101,ANO2
JCP2022_800486,63982,ANO3
JCP2022_800487,121601,ANO4
JCP2022_800488,203859,ANO5
JCP2022_800489,196527,ANO6
JCP2022_800490,50636,ANO7
JCP2022_800491,57719,ANO8
JCP2022_800492,338440,ANO9
JCP2022_800493,3730,ANOS1
JCP2022_800494,290,ANPEP
JCP2022_800495,306,ANXA3
JCP2022_800496,309,ANXA6
JCP2022_800497,8416,ANXA9
JCP2022_800498,313,AOAH
JCP2022_800499,314,AOC2
JCP2022_800500,8639,AOC3
JCP2022_800501,316,AOX1
JCP2022_800502,8546,AP3B1
JCP2022_800503,9546,APBA3
JCP2022_800504,324,APC
JCP2022_800505,10297,APC2
JCP2022_800506,327,APEH
JCP2022_800507,328,APEX1
JCP2022_800508,27301,APEX2
JCP2022_800509,187,APLNR
JCP2022_800510,334,APLP2
JCP2022_800511,335,APOA1
JCP2022_800512,336,APOA2
JCP2022_800513,337,APOA4
JCP2022_800514,338,APOB
JCP2022_800515,339,APOBEC1
JCP2022_800516,10930,APOBEC2
JCP2022_800517,200315,APOBEC3A
JCP2022_800518,9582,APOBEC3B
JCP2022_800519,27350,APOBEC3C
JCP2022_800520,140564,APOBEC3D
JCP2022_800521,60489,APOBEC3G
JCP2022_800522,341,APOC1
JCP2022_800523,344,APOC2
JCP2022_800524,345,APOC3
JCP2022_800525,346,APOC4
JCP2022_800526,347,APOD
JCP2022_800527,348,APOE
JCP2022_800528,319,APOF
JCP2022_800529,350,APOH
JCP2022_800530,8542,APOL1
JCP2022_800531,80833,APOL3
JCP2022_800532,55937,APOM
JCP2022_800533,353,APRT
JCP2022_800534,54840,APTX
JCP2022_800535,358,AQP1
JCP2022_800536,89872,AQP10
JCP2022_800537,282679,AQP11
JCP2022_800538,375318,AQP12A
JCP2022_800539,653437,AQP12B
JCP2022_800540,359,AQP2
JCP2022_800541,360,AQP3
JCP2022_800542,361,AQP4
JCP2022_800543,362,AQP5
JCP2022_800544,363,AQP6
JCP2022_800545,364,AQP7
JCP2022_800546,343,AQP8
JCP2022_800547,366,AQP9
JCP2022_800548,367,AR
JCP2022_800549,369,ARAF
JCP2022_800550,374,AREG
JCP2022_800551,9870,AREL1
JCP2022_800552,375,ARF1
JCP2022_800553,377,ARF3
JCP2022_800554,378,ARF4
JCP2022_800555,381,ARF5
JCP2022_800556,382,ARF6
JCP2022_800557,55738,ARFGAP1
JCP2022_800558,26286,ARFGAP3
JCP2022_800559,10139,ARFRP1
JCP2022_800560,383,ARG1
JCP2022_800561,384,ARG2
JCP2022_800562,2909,ARHGAP35
JCP2022_800563,394,ARHGAP5
JCP2022_800564,23779,ARHGAP8
JCP2022_800565,396,ARHGDIA
JCP2022_800566,397,ARHGDIB
JCP2022_800567,9639,ARHGEF10
JCP2022_800568,23365,ARHGEF12
JCP2022_800569,9828,ARHGEF17
JCP2022_800570,23370,ARHGEF18
JCP2022_800571,9181,ARHGEF2
JCP2022_800572,9459,ARHGEF6
JCP2022_800573,8874,ARHGEF7
JCP2022_800574,8289,ARID1A
JCP2022_800575,57492,ARID1B
JCP2022_800576,196528,ARID2
JCP2022_800577,1820,ARID3A
JCP2022_800578,10620,ARID3B
JCP2022_800579,138715,ARID3C
JCP2022_800580,5926,ARID4A
JCP2022_800581,10865,ARID5A
JCP2022_800582,84159,ARID5B
JCP2022_800583,25820,ARIH1
JCP2022_800584,10425,ARIH2
JCP2022_800585,400,ARL1
JCP2022_800586,402,ARL2
JCP2022_800587,10124,ARL4A
JCP2022_800588,379,ARL4D
JCP2022_800589,26225,ARL5A
JCP2022_800590,55130,ARMC4
JCP2022_800591,405,ARNT
JCP2022_800592,9915,ARNT2
JCP2022_800593,406,ARNTL
JCP2022_800594,56938,ARNTL2
JCP2022_800595,10094,ARPC3
JCP2022_800596,10093,ARPC4
JCP2022_800597,10776,ARPP19
JCP2022_800598,410,ARSA
JCP2022_800599,411,ARSB
JCP2022_800600,414,ARSD
JCP2022_800601,415,ARSE
JCP2022_800602,416,ARSF
JCP2022_800603,22901,ARSG
JCP2022_800604,347527,ARSH
JCP2022_800605,340075,ARSI
JCP2022_800606,79642,ARSJ
JCP2022_800607,153642,ARSK
JCP2022_800608,417,ART1
JCP2022_800609,419,ART3
JCP2022_800610,420,ART4
JCP2022_800611,116969,ART5
JCP2022_800612,170302,ARX
JCP2022_800613,57412,AS3MT
JCP2022_800614,427,ASAH1
JCP2022_800615,56624,ASAH2
JCP2022_800616,51665,ASB1
JCP2022_800617,136371,ASB10
JCP2022_800618,140456,ASB11
JCP2022_800619,142689,ASB12
JCP2022_800620,79754,ASB13
JCP2022_800621,142686,ASB14
JCP2022_800622,142685,ASB15
JCP2022_800623,92591,ASB16
JCP2022_800624,127247,ASB17
JCP2022_800625,401036,ASB18
JCP2022_800626,51676,ASB2
JCP2022_800627,51130,ASB3
JCP2022_800628,51666,ASB4
JCP2022_800629,140458,ASB5
JCP2022_800630,140459,ASB6
JCP2022_800631,140460,ASB7
JCP2022_800632,140461,ASB8
JCP2022_800633,140462,ASB9
JCP2022_800634,10973,ASCC3
JCP2022_800635,429,ASCL1
JCP2022_800636,430,ASCL2
JCP2022_800637,56676,ASCL3
JCP2022_800638,25842,ASF1A
JCP2022_800639,432,ASGR1
JCP2022_800640,433,ASGR2
JCP2022_800641,55870,ASH1L
JCP2022_800642,9070,ASH2L
JCP2022_800643,41,ASIC1
JCP2022_800644,40,ASIC2
JCP2022_800645,9311,ASIC3
JCP2022_800646,55515,ASIC4
JCP2022_800647,51802,ASIC5
JCP2022_800648,435,ASL
JCP2022_800649,439,ASNA1
JCP2022_800650,440,ASNS
JCP2022_800651,54529,ASNSD1
JCP2022_800652,443,ASPA
JCP2022_800653,374569,ASPG
JCP2022_800654,444,ASPH
JCP2022_800655,57168,ASPHD2
JCP2022_800656,151516,ASPRV1
JCP2022_800657,80150,ASRGL1
JCP2022_800658,445,ASS1
JCP2022_800659,431705,ASTL
JCP2022_800660,84896,ATAD1
JCP2022_800661,29028,ATAD2
JCP2022_800662,11101,ATE1
JCP2022_800663,466,ATF1
JCP2022_800664,1386,ATF2
JCP2022_800665,467,ATF3
JCP2022_800666,468,ATF4
JCP2022_800667,22809,ATF5
JCP2022_800668,22926,ATF6
JCP2022_800669,1388,ATF6B
JCP2022_800670,11016,ATF7
JCP2022_800671,55729,ATF7IP
JCP2022_800672,83734,ATG10
JCP2022_800673,9140,ATG12
JCP2022_800674,64422,ATG3
JCP2022_800675,115201,ATG4A
JCP2022_800676,23192,ATG4B
JCP2022_800677,84938,ATG4C
JCP2022_800678,84971,ATG4D
JCP2022_800679,9474,ATG5
JCP2022_800680,10533,ATG7
JCP2022_800681,80162,ATHL1
JCP2022_800682,471,ATIC
JCP2022_800683,51062,ATL1
JCP2022_800684,472,ATM
JCP2022_800685,1822,ATN1
JCP2022_800686,474,ATOH1
JCP2022_800687,220202,ATOH7
JCP2022_800688,57194,ATP10A
JCP2022_800689,23120,ATP10B
JCP2022_800690,57205,ATP10D
JCP2022_800691,23250,ATP11A
JCP2022_800692,23200,ATP11B
JCP2022_800693,286410,ATP11C
JCP2022_800694,479,ATP12A
JCP2022_800695,57130,ATP13A1
JCP2022_800696,23400,ATP13A2
JCP2022_800697,79572,ATP13A3
JCP2022_800698,84239,ATP13A4
JCP2022_800699,344905,ATP13A5
JCP2022_800700,476,ATP1A1
JCP2022_800701,477,ATP1A2
JCP2022_800702,478,ATP1A3
JCP2022_800703,480,ATP1A4
JCP2022_800704,481,ATP1B1
JCP2022_800705,482,ATP1B2
JCP2022_800706,483,ATP1B3
JCP2022_800707,23439,ATP1B4
JCP2022_800708,91419,ATP23
JCP2022_800709,487,ATP2A1
JCP2022_800710,488,ATP2A2
